A000;Cólera devida a Vibrio cholerae 01, biótipo cholerae;Primeiro Cadastro
A001;Cólera devida a Vibrio cholerae 01, biótipo El Tor;Primeiro Cadastro
A009;Cólera não especificada;Primeiro Cadastro
A010;Febre tifóide;Primeiro Cadastro
A011;Febre paratifóide A;Primeiro Cadastro
A012;Febre paratifóide B;Primeiro Cadastro
A013;Febre paratifóide C;Primeiro Cadastro
A014;Febre paratifóide não especificada;Primeiro Cadastro
A020;Enterite por salmonela;Primeiro Cadastro
A021;Septicemia por salmonela;Primeiro Cadastro
A022;Infecções localizadas por salmonela;Primeiro Cadastro
A028;Outras infecções especificadas por salmonela;Primeiro Cadastro
A029;Infecção não especificada por salmonela;Primeiro Cadastro
A030;Shiguelose devida a Shigella dysenteriae;Primeiro Cadastro
A031;Shiguelose devida a Shigella flexneri;Primeiro Cadastro
A032;Shiguelose devida a Shigella boydii;Primeiro Cadastro
A033;Shiguelose devida a Shigella sonnei;Primeiro Cadastro
A038;Outras shigueloses;Primeiro Cadastro
A039;Shiguelose não especificada;Primeiro Cadastro
A040;Infecção por Escherichia coli enteropatogênica;Primeiro Cadastro
A041;Infecção por Escherichia coli enterotoxigênica;Primeiro Cadastro
A042;Infecção por Escherichia coli enteroinvasiva;Primeiro Cadastro
A043;Infecção por Escherichia coli enterohemorrágica;Primeiro Cadastro
A044;Outras infecções intestinais por Escherichia coli;Primeiro Cadastro
A045;Enterite por Campylobacter;Primeiro Cadastro
A046;Enterite devida a Yersinia enterocolítica;Primeiro Cadastro
A047;Enterocolite devida a Clostridium difficile;Primeiro Cadastro
A048;Outras infecções bacterianas intestinais especificadas;Primeiro Cadastro
A049;Infecção intestinal bacteriana não especificada;Primeiro Cadastro
A050;Intoxicação alimentar estafilocócica;Primeiro Cadastro
A051;Botulismo;Primeiro Cadastro
A052;Intoxicação alimentar devida a Clostridium perfringens [Clostridium welchii];Primeiro Cadastro
A053;Intoxicação alimentar devida a Vibrio parahemolyticus;Primeiro Cadastro
A054;Intoxicação alimentar devida a Bacillus cereus;Primeiro Cadastro
A058;Outras intoxicações alimentares bacterianas especificadas;Primeiro Cadastro
A059;Intoxicação alimentar bacteriana não especificada;Primeiro Cadastro
A060;Disenteria amebiana aguda;Primeiro Cadastro
A061;Amebíase intestinal crônica;Primeiro Cadastro
A062;Colite amebiana não-disentérica;Primeiro Cadastro
A063;Ameboma intestinal;Primeiro Cadastro
A064;Abscesso amebiano do fígado;Primeiro Cadastro
A065;Abscesso amebiano do pulmão;Primeiro Cadastro
A066;Abscesso amebiano do cérebro;Primeiro Cadastro
A067;Amebíase cutânea;Primeiro Cadastro
A068;Infecção amebiana de outras localizações;Primeiro Cadastro
A069;Amebíase não especificada;Primeiro Cadastro
A070;Balantidíase;Primeiro Cadastro
A071;Giardíase [lamblíase];Primeiro Cadastro
A072;Criptosporidiose;Primeiro Cadastro
A073;Isosporíase;Primeiro Cadastro
A078;Outras doenças intestinais especificadas por protozoários;Primeiro Cadastro
A079;Doença intestinal não especificada por protozoários;Primeiro Cadastro
A080;Enterite por rotavírus;Primeiro Cadastro
A081;Gastroenteropatia aguda pelo agente de Norwalk;Primeiro Cadastro
A082;Enterite por adenovírus;Primeiro Cadastro
A083;Outras enterites virais;Primeiro Cadastro
A084;Infecção intestinal devida a vírus não especificado;Primeiro Cadastro
A085;Outras infecções intestinais especificadas;Primeiro Cadastro
A09;Diarréia e gastroenterite de origem infecciosa presumível;Primeiro Cadastro
A150;Tuberculose pulmonar, com confirmação por exame microscópico da expectoração, com ou sem cultura;Primeiro Cadastro
A151;Tuberculose pulmonar, com confirmação somente por cultura;Primeiro Cadastro
A152;Tuberculose pulmonar, com confirmação histológica;Primeiro Cadastro
A153;Tuberculose pulmonar, com confirmação por meio não especificado;Primeiro Cadastro
A154;Tuberculose dos gânglios intratorácicos, com confirmação bacteriológica e histológica;Primeiro Cadastro
A155;Tuberculose da laringe, da traquéia e dos brônquios, com confirmação bacteriológica e histológica;Primeiro Cadastro
