Matrícula;Data Afastamento;Data Retorno;Motivo
2544;24/11/2003;;Demissão
2544;30/06/2003;20/07/2003;Férias
2544;22/07/2002;11/08/2002;Férias
2544;17/12/2001;09/01/2002;Férias
2544;23/10/2000;12/11/2000;Férias
2544;17/07/2000;06/08/2000;Férias
2544;04/01/1999;24/01/1999;Férias
2610;12/02/1999;;Demissão
2610;18/04/1994;09/05/1994;Férias
2610;17/05/1993;06/06/1993;Férias
2610;31/08/1992;20/09/1992;Férias
2610;16/03/1992;05/04/1992;Férias
2610;16/09/1991;02/10/1991;Férias
2610;18/02/1991;10/03/1991;Férias
2610;21/05/1990;04/06/1990;Férias
2610;01/03/1990;21/03/1990;Férias
2630;13/04/2006;;Demissão
2630;05/09/2005;25/09/2005;Férias
2630;05/07/2004;25/07/2004;Férias
2630;12/05/2003;01/06/2003;Férias
2630;22/07/2002;11/08/2002;Férias
2630;22/04/2002;12/05/2002;Férias
2630;23/04/2001;13/05/2001;Férias
2630;03/07/2000;23/07/2000;Férias
2630;28/06/1999;18/07/1999;Férias
2889;06/10/2004;;Demissão
2889;05/07/2004;25/07/2004;Férias
2889;30/06/2003;30/07/2003;Férias
2889;23/12/2002;25/01/2003;Férias
2889;25/06/2001;25/07/2001;Férias
2889;03/07/2000;02/08/2000;Férias
2889;05/07/1999;04/08/1999;Férias
2889;12/05/1993;11/06/1993;Férias
2889;14/12/1992;27/12/1992;Férias
2889;09/03/1992;28/03/1992;Férias
2889;17/06/1991;02/07/1991;Férias
2889;25/06/1990;11/07/1990;Férias
2889;07/05/1990;21/05/1990;Férias
2976;01/02/2007;;Demissão
2976;13/02/2006;15/03/2006;Férias
2976;14/03/2005;03/04/2005;Férias
2976;26/07/2004;15/08/2004;Férias
2976;30/06/2003;20/07/2003;Férias
2976;02/09/2002;22/09/2002;Férias
2976;17/12/2001;19/01/2002;Férias
2976;09/04/2001;27/04/2001;Férias
2976;26/12/2000;08/01/2001;Férias
2976;13/03/2000;02/04/2000;Férias
2976;27/09/1999;27/10/1999;Férias
2976;03/01/1994;03/02/1994;Férias
2976;04/01/1993;24/01/1993;Férias
2976;02/01/1992;01/02/1992;Férias
2976;12/02/1990;04/03/1990;Férias
3478;03/06/2005;;Demissão
3478;17/01/2005;06/02/2005;Férias
3478;22/12/2003;14/01/2004;Férias
3478;09/12/2002;30/12/2002;Férias
3478;11/02/2002;16/02/2002;Férias
3478;17/12/2001;14/01/2002;Férias
3478;02/01/2001;22/01/2001;Férias
3478;03/04/2000;23/04/2000;Férias
3478;27/07/1998;16/08/1998;Férias
3478;26/01/1998;15/02/1998;Férias
3478;22/12/1997;04/01/1998;Férias
3478;02/12/1996;12/01/1997;Férias
3478;18/12/1995;27/01/1996;Férias
3478;05/12/1994;03/01/1995;Férias
3478;06/12/1993;01/01/1994;Férias
3478;14/12/1992;09/01/1993;Férias
3478;19/08/1991;30/08/1991;Férias
